,condition,retroScoreTotal,trustTotal,explSatisfactionRetroAvg,explSatisfactionTrustAvg
1,2,2,5,2.0,2.25
2,1,1,4,3.0,3.5
4,1,3,3,3.75,3.75
5,1,0,5,3.5,3.5
6,2,3,2,1.75,2.5
8,1,1,2,4.5,4.75
9,2,0,2,4.0,4.25
11,1,0,2,2.5,3.25
14,2,3,5,3.75,3.5
15,1,0,2,2.5,2.75
16,1,2,4,2.25,2.0
20,2,2,2,3.5,4.0
21,2,0,3,2.25,2.5
23,1,1,3,3.5,2.5
24,2,2,2,3.0,3.0
25,1,3,2,1.0,1.0
26,2,2,2,4.0,4.5
27,1,2,5,2.5,1.25
29,1,2,2,3.5,3.5
32,1,1,3,3.5,4.0
37,2,3,3,4.75,4.5
39,1,1,3,1.75,1.75
40,1,1,2,4.0,4.0
42,1,2,5,4.0,4.0
43,2,3,3,3.75,3.75
45,1,0,2,4.5,4.0
47,1,0,3,4.25,4.0
48,1,1,3,3.75,3.75
52,2,1,3,3.5,3.5
53,1,1,5,3.75,4.0
55,2,1,3,2.0,2.0
57,1,2,5,3.5,3.25
61,2,2,4,3.5,3.5
63,1,2,3,3.0,3.25
65,2,1,2,3.75,4.0
66,2,2,2,3.25,2.75
68,2,2,3,3.0,3.0
71,1,1,3,4.0,4.0
73,1,2,2,2.5,2.5
75,1,1,3,2.25,2.25
77,2,2,4,3.75,3.75
78,2,0,3,3.25,4.75
79,2,0,3,2.5,2.5
80,2,2,4,3.75,3.0
81,2,1,2,1.0,1.0
82,2,3,2,3.5,3.0
83,2,1,2,3.5,4.0
86,1,1,3,2.25,2.25
87,1,1,3,3.5,3.25
88,1,0,5,3.0,3.0
89,1,1,3,3.5,3.0
